path_id,path_length,total_driving_time,num_drivers,break_number,event_type,event_name,latest_node_idx,latest_geo_id,cumulative_distance,cumulative_driving_time,time_with_breaks,charging_type,id
183,1073.7428571428572,13.421785714285715,1,1,B,break,0,5,0.0,0.0,0.75,fast,442
184,1060.854716981132,13.26068396226415,1,1,B,break,0,5,0.0,0.0,0.75,fast,444
185,1142.2246714709624,14.27780839338703,1,1,B,break,0,5,0.0,0.0,0.75,fast,446
186,1237.3015647226175,15.46626955903272,1,1,B,break,0,5,0.0,0.0,0.75,fast,449
187,1350.5994423791822,16.882493029739777,1,1,B,break,0,5,0.0,0.0,0.75,fast,452
188,1532.6644295302012,19.158305369127515,1,1,B,break,0,5,0.0,0.0,0.75,fast,455
189,1503.4285714285713,18.79285714285714,1,1,B,break,0,5,0.0,0.0,0.75,fast,459
190,1715.4980694980695,21.44372586872587,1,1,B,break,0,5,0.0,0.0,0.75,fast,463
191,1622.615894039735,20.282698675496686,1,1,B,break,0,5,0.0,0.0,0.75,fast,467
192,1701.0994035785288,21.26374254473161,1,1,B,break,0,5,0.0,0.0,0.75,fast,471
193,1110.9800221975584,13.88725027746948,1,1,B,break,0,5,0.0,0.0,0.75,fast,475
194,1434.3586956521738,17.929483695652173,1,1,B,break,0,5,0.0,0.0,0.75,fast,478
195,1285.967032967033,16.074587912087914,1,1,B,break,0,5,0.0,0.0,0.75,fast,481
196,1800.3116883116882,22.503896103896103,1,1,B,break,0,5,0.0,0.0,0.75,fast,484
197,1652.0431034482758,20.650538793103447,1,1,B,break,0,5,0.0,0.0,0.75,fast,489
198,1884.7272727272727,23.55909090909091,1,1,B,break,0,5,0.0,0.0,0.75,fast,493
199,1570.2729693741678,19.6284121171771,1,1,B,break,0,5,0.0,0.0,0.75,fast,498
200,1379.0162932790224,17.23770366598778,1,1,B,break,0,5,0.0,0.0,0.75,fast,502
201,487.1077932786272,6.08884741598284,1,1,B,break,0,6,0.0,0.0,0.75,fast,505
202,534.3657783722606,6.679572229653258,1,1,B,break,0,6,0.0,0.0,0.75,fast,506
203,418.7925531914894,5.234906914893617,1,1,B,break,0,6,0.0,0.0,0.75,fast,507
204,601.7705882352941,7.522132352941176,1,1,B,break,0,6,0.0,0.0,0.75,fast,508
205,466.8194283162126,5.835242853952658,1,1,B,break,0,6,0.0,0.0,0.75,fast,509
206,499.8696296296296,6.24837037037037,1,1,B,break,0,6,0.0,0.0,0.75,fast,510
207,560.0136228182205,7.000170285227756,1,1,B,break,0,6,0.0,0.0,0.75,fast,511
208,645.8699755899105,8.07337469487388,1,1,B,break,0,6,0.0,0.0,0.75,fast,512
209,775.007676841528,9.6875959605191,1,1,B,break,0,6,0.0,0.0,0.75,fast,513
210,609.0753909905093,7.613442387381366,1,1,B,break,0,6,0.0,0.0,0.75,fast,515
211,753.4740290126346,9.418425362657931,1,1,B,break,0,6,0.0,0.0,0.75,fast,516
212,937.9142857142857,11.723928571428571,1,1,B,break,0,6,0.0,0.0,0.75,fast,518
213,918.6575163398692,11.483218954248365,1,1,B,break,0,6,0.0,0.0,0.75,fast,520
214,1013.1405650505757,12.664257063132196,1,1,B,break,0,6,0.0,0.0,0.75,fast,522
215,1097.1818181818182,13.714772727272727,1,1,B,break,0,6,0.0,0.0,0.75,fast,524
216,1154.4315789473685,14.430394736842107,1,1,B,break,0,6,0.0,0.0,0.75,fast,527
217,1213.451768488746,15.168147106109325,1,1,B,break,0,6,0.0,0.0,0.75,fast,530
218,1393.42509603073,17.417813700384123,1,1,B,break,0,6,0.0,0.0,0.75,fast,533
219,1351.6623376623377,16.89577922077922,1,1,B,break,0,6,0.0,0.0,0.75,fast,536
220,1569.4168797953964,19.617710997442455,1,1,B,break,0,6,0.0,0.0,0.75,fast,539
221,1775.706603773585,22.19633254716981,1,1,B,break,0,6,0.0,0.0,0.75,fast,543
222,1948.2409638554218,24.353012048192774,1,1,B,break,0,6,0.0,0.0,0.75,fast,547
223,1797.472,22.4684,1,1,B,break,0,6,0.0,0.0,0.75,fast,552
224,2037.935064935065,25.474188311688312,1,1,B,break,0,6,0.0,0.0,0.75,fast,556
225,1855.1640926640925,23.189551158301157,1,1,B,break,0,6,0.0,0.0,0.75,fast,561
226,1727.0715096481272,21.58839387060159,1,1,B,break,0,6,0.0,0.0,0.75,fast,566
227,1537.9609120521172,19.224511400651465,1,1,B,break,0,6,0.0,0.0,0.75,fast,570
228,1267.826575476307,15.847832193453836,1,1,B,break,0,6,0.0,0.0,0.75,fast,574
229,1585.5573074590661,19.819466343238325,1,1,B,break,0,6,0.0,0.0,0.75,fast,577
230,495.1554835629168,6.18944354453646,1,1,B,break,0,7,0.0,0.0,0.75,fast,581
231,553.2188720173535,6.915235900216919,1,1,B,break,0,7,0.0,0.0,0.75,fast,582
232,525.9823008849559,6.574778761061948,1,1,B,break,0,7,0.0,0.0,0.75,fast,583
233,599.1302325581396,7.489127906976745,1,1,B,break,0,7,0.0,0.0,0.75,fast,584
234,491.8577976645204,6.1482224708065045,1,1,B,break,0,7,0.0,0.0,0.75,fast,585
236,456.27919708029196,5.70348996350365,1,1,B,break,0,7,0.0,0.0,0.75,fast,587
237,620.7557324840765,7.759446656050956,1,1,B,break,0,7,0.0,0.0,0.75,fast,588
238,661.3604879968516,8.267006099960645,1,1,B,break,0,7,0.0,0.0,0.75,fast,589
239,606.7334167709637,7.584167709637046,1,1,B,break,0,7,0.0,0.0,0.75,fast,590
