year,scenario,country,infrastructure_type,ref_capacity_MW,case_capacity_MW,delta_capacity_MW,pct_change_capacity,ref_utilization_pct,case_utilization_pct,delta_utilization_pct
2040,case_20251028_091635_uni_uni,NO,slow_charging_station,23.959363592000003,12.352862695000002,-11.606500897,-48.44244235633786,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,NO,fast_charging_station,20.998245378,20.991984876000004,-0.006260501999996393,-0.02981440538148755,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,SE,slow_charging_station,44.959503257,29.488564071,-15.470939186000003,-34.41083211610271,0.0,0.0,0.0
2040,case_20251028_091635_uni_uni,SE,fast_charging_station,35.52,35.52,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,AT,slow_charging_station,160.79126240800005,161.455529464,0.6642670559999431,0.41312385141575514,0.5848625877943717,0.5824563218039972,-0.002406265990374523
2050,case_20251028_091411_var_uni,AT,fast_charging_station,151.58298977100003,153.59176734000002,2.0087775689999887,1.3251998605085544,0.6203914698386238,0.6122775683567594,-0.008113901481864416
2050,case_20251028_091411_var_uni,DE,slow_charging_station,318.21440732099995,318.2361121420001,0.02170482100012805,0.006820816562913581,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,DE,fast_charging_station,352.657236332,352.657236332,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,DK,slow_charging_station,48.195576969,48.195576969,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,DK,fast_charging_station,54.597960412,54.597960412,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,IT,slow_charging_station,175.603954726,172.612334691,-2.991620035000011,-1.703617688831623,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,IT,fast_charging_station,151.218423517,151.162456977,-0.0559665399999858,-0.03701039774012327,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,NO,slow_charging_station,23.959363592000003,24.381673975,0.42231038299999923,1.7626110200231198,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,NO,fast_charging_station,20.998245378,20.998245378,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,SE,slow_charging_station,44.959503257,46.307267802000005,1.347764545000004,2.997730062309269,0.0,0.0,0.0
2050,case_20251028_091411_var_uni,SE,fast_charging_station,35.52,35.52,0.0,0.0,0.0,0.0,0.0
2050,case_20251028_091502_uni_var,AT,slow_charging_station,160.79126240800005,100.834120509,-59.95714189900005,-37.288805996722445,0.5848625877943717,0.9326286890607219,0.3477661012663502
2050,case_20251028_091502_uni_var,AT,fast_charging_station,151.58298977100003,150.03049814300002,-1.5524916280000127,-1.0241859131723146,0.6203914698386238,0.6268111803063036,0.006419710467679751
2050,case_20251028_091502_uni_var,DE,slow_charging_station,318.21440732099995,318.214407317,-3.999957698397338e-09,-1.2570008165476828e-09,0.0,0.0,0.0
